SITE,PLOT,SUB,TAG,SPP,CanopyClass,DBH14,Distance_m,Azimuth
UNDERC,Red,0,1135,TSCA,codominant,41.3,3.75,248
UNDERC,Red,0,1136,TSCA,codominant,48.5,3.9,212
UNDERC,Red,0,1137,TSCA,intermediate,39.3,6.1,236
UNDERC,Red,0,1138,TSCA,codominant,32.5,7.15,246
UNDERC,Red,0,1139,TSCA,supressed,14.4,8.2,231
UNDERC,Red,0,1140,TSCA,dominant,59.5,11.3,239
UNDERC,Red,0,1141,TSCA,supressed,11.1,10.35,246
UNDERC,Red,0,1142,ACSA3,intermediate,9.5,10,287
UNDERC,Red,0,1143,TSCA,dominant,54.8,8.25,298
UNDERC,Red,0,1144,BEAL2,codominant,57.1,6.65,315
UNDERC,Red,0,1145,TSCA,dominant,45.7,10.2,321
UNDERC,Red,0,1,ACSA3,supressed,2.4,11.6,322
UNDERC,Red,0,1146,TSCA,codominant,28.8,11.8,332
UNDERC,Red,0,1147,ACSA3,supressed,3.6,9.2,341
UNDERC,Red,0,2,ACSA3,supressed,2.4,9.6,345
UNDERC,Red,0,3,ACSA3,supressed,2.6,8.3,353
UNDERC,Red,0,1148,THOC2,intermediate,17.9,8.3,359
UNDERC,Red,0,4,ACSA3,supressed,3.8,5.8,359
UNDERC,Red,0,1149,BEAL2,dominant,58.2,10.2,17
UNDERC,Red,0,1150,TSCA,intermediate,23.2,2.2,17
UNDERC,Red,0,1151,THOC2,intermediate,20.1,7.8,29
UNDERC,Red,0,1152,TSCA,dominant,62.6,8,65
UNDERC,Red,0,1153,TSCA,dominant,71.8,7.2,100
UNDERC,Red,0,1154,TSCA,codominant,40.7,8.05,164
UNDERC,Red,0,1155,TSCA,codominant,40.4,7.3,188
UNDERC,Red,0,1156,TSCA,dominant,67.4,8.3,216
UNDERC,Yellow,0,1157,TSCA,supressed,18.2,6.25,14
UNDERC,Yellow,0,1158,TSCA,codominant,38.1,5.85,28
UNDERC,Yellow,0,1159,TSCA,dominant,56.4,1.8,55
UNDERC,Yellow,0,1160,TSCA,supressed,17.3,5.2,60
UNDERC,Yellow,0,1162,TSCA,codominant,58.9,10.9,50
UNDERC,Yellow,0,1163,TSCA,intermediate,27.5,4.4,74
UNDERC,Yellow,0,1164,TSCA,intermediate,30,10.85,107
UNDERC,Yellow,0,1165,BEAL2,dominant,54.8,12.45,108
UNDERC,Yellow,0,1166,ACSA3,codominant,43.2,6.7,158
UNDERC,Yellow,0,1167,TSCA,supressed,22.3,7.4,167
UNDERC,Yellow,0,1161,TSCA,supressed,26.3,2.9,180
UNDERC,Yellow,0,1168,TSCA,codominant,51.1,10,192
UNDERC,Yellow,0,1169,TSCA,codominant,37.3,10.9,245
UNDERC,Yellow,0,1170,TSCA,supressed,12.8,6.75,247
UNDERC,Yellow,0,1171,BEAL2,intermediate,32,10.05,250
UNDERC,Yellow,0,1172,TSCA,codominant,51.5,11.6,266
UNDERC,Yellow,0,1173,TSCA,codominant,44.6,6.9,269
UNDERC,Yellow,0,1174,BEAL2,intermediate,21.8,9.55,293
UNDERC,Yellow,0,1175,BEAL2,dominant,59.7,7,299
UNDERC,Yellow,0,1176,TSCA,codominant,34.3,5.65,300
UNDERC,Yellow,0,1177,TSCA,supressed,17.7,8,322
UNDERC,Yellow,0,1178,TSCA,dominant,58.1,6.4,330
