plot,Tree number,Species,X coord,Y coord,T1_DBH,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,Tree height,,,
113,1343,PIPO,33.3,35,25.1,DSF,,,,,,,,,,
113,1364,PIPO,15.9,20.2,34.3,DSF,,,,,,,,,,
113,1365,PIPO,6.5,23,43.2,LF,1.5,1.5,1.5,1.5,1,42.4,14.88,,,
113,1366,PIPO,2,34,31.4,LG,2,2,2,2,2,35.5,15.39,,,
113,1367,PIPO,16.4,22.3,47.4,LG,1,2,2,1,1,47.7,20.87,,,
113,1401,PIPO,33.4,38.9,40.1,LF,2,1,1,2,1.5,40.2,17.54,,,
113,1402,PIPO,31.5,38.5,40.5,LF,2,1,1,2,2,42.4,18.63,,,
113,1403,PIPO,28.5,40.2,42.1,LF,2,2,2,2,2,42.3,15.79,,,
113,1404,PIPO,26.8,35.2,29.5,LF,2,2,1,2,1.5,31.1,9.76,,,
113,1405,PIPO,27.2,35.8,25.5,LG,2,2,2,2,2,27.2,12.49,,,
113,1406,PIPO,23.4,49.2,36.3,LG,2,1,1,2,2,37.2,18.05,,,
113,1407,PIPO,13.5,43.9,27.9,LE,2,2,2,2,2,31.1,12.32,,,
113,1408,PIPO,8.7,40.5,39.6,LF,1,1,2,1,2,39.5,16.52,,,
113,1409,PIPO,0.5,37.3,39.3,LG,2,2,2,1,2,41,18.28,,,
113,1410,PIPO,0.2,42.3,33.7,LG,2,2,1.5,2,2,35.4,8.65,,,
113,1417,PIPO,14.1,5.8,50.2,LG,2,2,1,2,2,51.6,18.9,,,
113,1418,PIPO,22.5,11.9,49.5,LF,,,,,,,,,,DSF
113,1419,PIFL,35.1,12.6,43,LG,2,0.5,1.5,2,0,43.5,13.05,,,
113,1423,PIST,23.1,0.9,24.7,LE,,,,,,,,,,DSF
113,1425,PSME,25.4,1.8,29.3,LE,1,1,2,2,1,33.9,17.17,,,
113,1427,PSME,29.8,7.5,30.6,LE,2,2,2,2,2,35,15.64,,,
113,1428,PIPO,36.4,6,84.9,LG,,,,,,,,,,DFF
113,1432,PSME,33,15.4,33,LE,1,2,2,2,2,33.9,21.16,,,
113,1433,PIPO,41.8,30.1,48.1,LG,2,2,2,2,1.5,48.1,16.43,,,
113,1435,PIPO,41.7,24.5,38.3,LG,1.5,1.5,1,2,2,40.7,13.92,,,
113,1437,PIPO,33.7,28.7,30.2,LG,2,1.5,1,2,2,31.8,14.47,,,
113,1438,PIPO,35.3,27.3,30,LF,2,1,1,2,1,30.8,8.02,,,
113,1439,PIPO,34.6,30.7,25.3,LP,1,1,0.5,1,1,24.1,11.91,,,
113,1440,PIPO,32.9,34.3,29.5,LF,2,1,1,2,1,29.6,13.42,,,
113,1452,PIPO,18.9,28.3,33.3,LP,,,,,,,,,,DSF
113,1455,PIPO,19.8,26.7,44.9,LG,,,,,,,,,,DSF
113,5643,PSME,47.5,0.8,27.2,LE,,,,,,,,,,DSF
113,5644,PIPO,48,20.4,51.2,LF,2,2,1,2,1,51,19.14,,,
125,1101,PIPO,43.9,11,26.9,LG,2,1,1,2,2,31.6,19.95,,,x
125,1102,PIPO,42.2,8.7,25.4,LG,2,2,1,2,2,30.2,20.28,,,x
125,1103,PIPO,32.6,10.1,32.1,LF,2,1,0,2,5,31.9,12.44,,,x
125,1104,PIPO,29,10.8,28.1,LF,2,1,1,2,2,28.4,16.53,,,x
125,1105,PIPO,30.8,10,56.6,DSL,,,,,,,,,,burned up
125,1106,PIPO,28.2,12.7,56.4,LG,,,,,,,,,,DSF
125,1107,PIPO,25.3,9.2,62.5,LE,2,2,2,2,2,59.6,18.59,,,x
125,1108,PIPO,5.5,14.8,26.2,LF,,,,,,,,,,DSF
125,1109,PIPO,4.4,12.2,25.8,LG,2,2,1,2,2,29.4,21.21,,,x
125,1110,PIPO,20,0.6,27.1,LG,2,2,1,2,2,30.3,17.31,,,x
125,1111,PIPO,17,1.9,56.1,LG,2,2,2,2,2,58.2,28.25,,,x
125,1121,PIPO,18.5,16.1,19.3,LG,,,,,,,,,,DSF
125,1133,PIPO,15.8,25.2,28,LG,2,2,1.5,2,2,32.1,17.26,,,x
125,1142,PIPO,22.7,22.1,21.6,LG,2,2,1,2,2,25.6,14.7,,,x
125,1145,PIPO,24.8,24.4,20.6,LG,0,0,1,0,0,25.2,13.19,,,x
125,1149,PIPO,4,0.3,31.8,LP,2,1,1,2,0,32.8,18.84,,,x
125,1166,PIPO,12,2.2,45.2,LG,2,2,2,2,2,46.8,28.42,,,x
125,1167,PIPO,12.5,1.8,40.9,LP,0.5,0.5,0.5,2,1,41.3,22.69,,,x
125,1245,PIPO,47.4,14.4,25.5,LG,2,2,1,2,2,31.2,16.37,,,x
125,1248,PIPO,29.6,49.5,54.8,LF,2,1.5,2,2,2,53.7,23.91,,,x
125,1252,PIPO,42.9,41.4,58.1,LE,2,2,2,2,2,60,23.74,,,x
125,1255,PIPO,4.2,39.1,35.5,DSF,,,,,,,,,,DSF
125,1269,PIPO,4.6,42.2,29,LG,,,,,,,,,,DSF
125,1279,PIPO,2.3,43.6,25,LG,,,,,,,,,,DSF
125,1282,PIPO,14,14.5,29.8,LG,2,2,2,2,2,33.8,18.74,,,x
125,1283,PIPO,10.7,23,27.6,LG,2,1,1,2,2,30.5,17.82,,,x
125,1284,PIPO,9.8,17.6,28.4,LF,,,,,,,,,,DSF
125,1285,PIPO,0.7,18.7,28,LE,,,,,,,,,,DSF
125,1286,PIPO,5,18,28.5,LG,,,,,,,,,,DSF
125,1287,PIPO,0.2,30.2,27.6,LE,2,1,1,2,2,34.4,18.35,,,x
125,1288,PIPO,0.6,32.6,29,LE,2,2,2,2,2,33.4,18.6,,,x
125,1289,PIPO,10.8,30.1,29.1,LG,2,2,2,2,2,33.3,17.12,,,x
125,1291,PIPO,31.9,15.4,46.5,LG,2,1,1.5,2,1,47,23.73,,,x
125,1292,PIPO,31.6,18.9,39,LG,2,2,1.5,2,2,42.2,21.97,,,x
125,1293,PIPO,29,23.1,53,LE,2,2,2,2,2,54,21.16,,,x
125,1294,PIPO,35.8,26.2,42,LG,2,2,2,2,2,45.1,19.28,,,x
125,1295,PIPO,35,21.4,27.7,LG,2,2,1,2,2,30.1,17.5,,,x
125,1296,PIPO,34.9,15.6,31.1,LG,2,2,1,2,2,32.9,16.86,,,x
125,1297,PIPO,39.8,14.9,28.3,LG,2,2,1,2,1,30.4,15.58,,,x
125,1298,PIPO,44.3,21.4,38.8,LF,2,2,1,2,0,41,15.31,,,x
125,1606,PIPO,17,33,59.1,LG,2,2,2,2,2,58.9,20.66,,,x
125,1607,PIPO,10.1,37.8,36.2,LG,2,1,1,2,2,37,21.54,,,x
125,1608,PIPO,28.5,34.9,32.4,LE,2,1.5,1,2,2,35.3,16.97,,,x
125,3000,PIPO,35.3,1.6,26.8,LF,2,2,2,2,2,29.9,16.29,,,x
127,2068,PIPO,6.7,48.5,35,2,2,2,2,2,2,37.8,23.49,,,
127,2069,PIFL,8.2,49.1,25.5,,2,2,2,2,2,27,17.78,,,
127,2070,PIFL,12.6,49.9,22,,2,2,1,2,2,26.8,17.03,,,
127,2071,PIFL,10.4,41.5,22.9,,2,2,1,2,1,24.1,17.21,,,
127,2072,PIPO,10.9,40.7,27.5,,2,2,1,1,1,30.2,20.29,,,
127,2073,PIPO,11.3,35.4,27.2,,2,2,1,2,1,27.6,22.37,,,
127,2074,PIPO,11.2,36.2,27,,2,1,1,2,1,27,24.6,,,
127,2075,PIPO,14.9,42.3,74.7,,1,1,1,2,2,73.6,29.95,,,
127,2076,PIPO,22.1,38.6,34.1,,2,2,1,2,2,36.5,28.86,,,
127,2077,PIPO,19.7,49.5,38,,2,0,1,2,0,38,12.99,,,
127,2079,PIPO,22,47,48.5,,2,2,1,2,1,49.6,22.03,,,
127,2080,PIPO,28.9,41.2,40.5,,2,2,2,2,2,42.4,26.18,,,
127,2081,PIPO,33.3,42.5,26.3,,2,2,1,2,1,27.7,22.54,,,
127,2082,PIPO,33.8,46.2,28.7,,2,1,1,2,2,28.6,22.54,,,
127,2083,PIPO,37.2,46.5,29.2,,2,1,1,2,2,31.8,23.7,,,
127,2084,PSME,38.6,41.9,33.6,,2,2,1,2,2,37.2,25.05,,,
127,2085,PSME,43.9,37.7,22.4,,2,2,1,2,1,22.8,13.37,,,
127,2086,PIFL,43.9,35.7,21,,2,1,1,2,2,31.2,20.06,,,
127,2087,ABCO,45.9,35.9,32.1,,2,2,1,2,2,35.3,27.02,,,
127,2089,PIPO,43.6,45.1,25,,2,2,1,2,1,25.9,21.91,,,
127,2090,PIPO,44.3,48.2,56.5,,2,2,2,2,2,58.2,28.97,,,
127,2091,PIFL,41.8,49.5,29.8,,2,2,1,2,2,30.5,17.66,,,
127,2092,PIPO,38.9,49.5,33.6,,2,1,1,2,2,35.6,24.92,,,
127,2194,PIFL,8,2.5,22,,2,2,1,2,2,24.5,12.43,,,
