plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
127,2015,ABCO,35.5,21.6,35.6,995.3813756,,2,2,2,2,2,35.8,1006.596852,19.13,0.2,,
127,2021,ABCO,47.6,25,26.2,539.1282599,,2,2,2,2,2,28.7,646.9240668,17.11,2.5,,
127,2042,ABCO,11.6,19.2,29.3,674.2558998,,2,2,1,2,2,34.8,951.1477884,19.64,5.5,,
127,2049,ABCO,1.5,25,21.9,376.684495,,2,1,0,2,2,24.7,479.1631608,13.56,2.8,,
127,2051,ABCO,4,25.7,22.9,411.870303,,2,2,1,2,2,25.4,506.7070511,13.62,2.5,,
127,2087,ABCO,45.9,35.9,32.1,809.281438,,2,2,1,2,2,35.3,978.6759708,27.02,3.2,,
127,2094,ABCO,33.2,13,23.1,419.09596,,2,2,1,2,2,25.6,514.7181056,20.05,2.5,,
141,233,ABCO,49.2,33,30.6,735.4148031,,,,,,,30.9,749.905387,22.43,0.3,,
141,924,ABCO,2.4,31.9,32.4,824.4788796,,,,,,,39.7,1237.857146,24.5,7.3,,
141,928,ABCO,23.9,19.9,25,490.8734375,,,,,,,30.4,725.8329536,20.35,5.4,,
141,929,ABCO,23.7,21.1,20.7,336.5349748,,,,,,,24.2,459.9601919,20.15,3.5,,
141,931,ABCO,29.4,23.7,28.9,655.971846,,,,,,,34.2,918.6323319,20.36,5.3,,
141,934,ABCO,35.8,18.5,35.3,978.6759708,,,,,,,38.7,1176.281982,22.14,3.4,,
141,935,ABCO,39.1,17.1,24.8,483.0508784,,,,,,,28.5,637.9391194,21.45,3.7,,
141,937,ABCO,38.3,19.6,22.3,390.5703228,,,,,,,24.8,483.0508784,19.24,2.5,,
141,940,ABCO,49,21.9,21.2,352.9890524,LP,0,1.5,1,2,0.5,23,415.4752775,17.78,1.8,,
141,941,ABCO,48.8,18.3,28.7,646.9240668,,,,,,,34,907.91951,22.37,5.3,,
141,942,ABCO,48,30,24.7,479.1631608,,,,,,,30.5,730.6160244,18.6,5.8,,
141,943,ABCO,48,32,26.5,551.5453944,,,,,,,31.5,779.3106694,24.79,5,,
141,944,ABCO,47.9,34.5,35,962.1119375,,,,,,,40.3,1275.556226,24.32,5.3,,
141,945,ABCO,49.6,5.6,24.1,456.166722,,,,,,,28.7,646.9240668,20.84,4.6,,
141,946,ABCO,49.6,4.2,26.6,555.7158551,,,,,,,33.5,881.4123444,23.55,6.9,,
141,950,ABCO,41.8,0.8,29.2,669.6613244,,,,,,,38.7,1176.281982,24.16,9.5,,
141,953,ABCO,35.2,9,20.5,330.0632994,,,,,,,25.9,526.852497,20.06,5.4,,
141,954,ABCO,41.8,14,27.5,593.9568594,,,,,,,27.9,611.361268,14.75,0.4,,
141,955,ABCO,34.7,12.2,27.2,581.0684864,,,,,,,32.3,819.3973578,22.14,5.1,,
141,956,ABCO,29.5,12.5,25.5,510.7047244,,,,,,,29.9,702.153219,24.15,4.4,,
141,957,ABCO,27.7,14.3,21.2,352.9890524,DSF,,,,,,22.1,383.595993,18.82,0.9,,DSF
141,967,ABCO,18.2,14.9,22.5,397.6074844,,,,,,,27.8,606.9866039,19.8,5.3,,DSF
141,5649,ABCO,39.9,24.5,21.6,366.4350576,LF,1.5,1.5,1,2,2,22.2,387.0753039,17.32,0.6,,DFF
147,354,ABCO,39.3,10,32.4,824.4788796,LE,2,2,2,2,2,36.1,1023.537876,19.27,3.7,,DSF
147,992,ABCO,15.3,16.7,27.4,589.6450271,LG,2,1,2,2,2,30.8,745.0594844,16.36,3.4,,DSF
147,993,ABCO,17.7,17,20.2,320.4735959,LF,2,2,1,2,2,23.1,419.09596,17.85,2.9,,DSF
147,994,ABCO,12.8,24,19.7,304.8049158,LG,2,2,1,2,2,24.1,456.166722,19.04,4.4,,x
147,999,ABCO,2.1,27.7,22,380.13239,LG,2,2,1,2,2,25.3,502.7250858,16.53,3.3,,x
147,0-8-101,ABCO,20,13,23,415.4752775,LF,2,2,1,2,2,23.7,441.1499218,18.31,0.7,,x
151,2574,ABCO,11,44.3,24.4,467.5942556,LE,2,2,1,2,2,34,907.91951,12.68,9.6,,x
156,562,ABCO,15.1,27.1,48,1809.55584,LE,2,2,2,2,2,50.8,2026.828204,20.18,2.8,,x
156,565,ABCO,11.3,45.2,30.9,749.905387,LE,2,2,2,2,2,36.2,1029.2163,16.91,5.3,,x
