PLOT,UTME,UTMN,Lat,Lon,Fire2012,Thin2006,BA2004,soil,substrate,Slope,CatchArea,SagaTWI,ProfCurv,PlanCurv,DEM,Aspect,ModCatArea,GenCurv
113,353194,3962859,35.79887657,-106.6246832,1,1,15.99,1,T,0.07765,254.97232,3.89087,0.0026,0.04465,2556.16992,5.89426,323.09384,0.01219
125,353797,3963034,35.80054376,-106.6180442,1,1,28.56,2,P,0.17352,616.62866,3.96479,0.00387,0.01912,2562.02002,2.85233,1518.35034,0.0148
127,352398,3963263,35.8023983,-106.6335638,0,0,56.97,3,T,0.07212,450.06104,4.0884,0.00008,0.00444,2553.44995,4.62933,605.49896,0.0008
137,352595,3963459,35.80419437,-106.6314204,0,0,22.99,2,T,0.43753,695.11151,3.0247,0.00993,0.01676,2550.84009,5.68483,695.11151,0.04241
141,353399,3963449,35.80422465,-106.6225235,1,1,27.37,4,A,0.12603,929.83759,4.11509,0.0005,0.01801,2556.46997,5.54249,1189.61108,0.0056
143,353799,3963446,35.80425727,-106.6180974,0,0,13.43,2,P,0.0438,548.96088,5.26557,0.00315,0.04658,2573.28003,5.3194,594.23358,0.01041
145,352393,3963658,35.80595751,-106.633692,0,0,28.66,2,T,0.19444,400.99454,2.89,0.00572,0.07947,2544.54004,5.00601,400.99454,0.0434
147,352807,3963647,35.80592055,-106.6291096,0,0,17.92,3,A,0.13837,339.29016,3.58721,-0.00157,0.00731,2570.5,4.60806,450.77176,-0.0012
149,353194,3963647,35.8059785,-106.6248278,0,0,12.89,2,P,0.17584,1670.27039,2.70009,-0.00152,0.00391,2523.6001,2.91161,1670.27039,-0.0018
151,353606,3963653,35.80609412,-106.6202706,0,0,34.11,4,T,0.14537,319.23071,3.38463,0.00357,0.02125,2563.20996,5.35724,319.23071,0.0136
154,352599,3963852,35.80773691,-106.6314486,0,0,24.7,2,T,0.12184,3221.38184,4.47229,-0.00339,0.03321,2529.44995,5.74273,18635.76367,0.00119
156,352989,3963851,35.80778639,-106.6271335,0,0,29.49,3,T,0.10076,289.60724,3.8496,0.0041,0.04584,2581.13989,5.29353,398.48914,0.01759
158,353396,3963853,35.80786529,-106.6226307,0,0,43.13,5,P,0.20891,7115.23828,3.66226,-0.05941,-0.19638,2543.07007,1.56371,3065.75903,-0.2102
162,352392,3964065,35.80962547,-106.6337782,0,0,28.4,2,T,0.16426,783.72754,3.15147,-0.00106,-0.01022,2540.15991,5.55755,783.72754,-0.0056
164,352800,3964055,35.80959663,-106.6292621,0,0,28.27,2,T,0.10767,628.58862,3.59862,-0.00296,-0.10538,2582.18994,3.31354,426.03058,-0.0288
166,353198,3964061,35.80971032,-106.6248596,0,0,24.69,2,T,0.105,510.17627,4.00053,0.00118,0.00196,2589.86011,5.2121,510.17627,0.00281
