year	month	ppt.mm	TmeanC	TmaxC
1981	1	3.039999962	1.0400002	8.510000229
1981	2	15.30000019	0.810000181	8.930000305
1981	3	94.84999847	0.960000038	7.050000191
1981	4	32.11999893	7.634999752	15.73999977
1981	5	52.34000015	10.14999962	17.47999954
1981	6	37.93000031	17.20499992	26.34000015
1981	7	76.41999817	18.17499924	25.61000061
1981	8	109.25	16.58499908	23.90999985
1981	9	83.76000214	13.85499954	20.96999931
1981	10	38.61999893	8.340000153	14.84000015
1981	11	20.12999916	4.069999695	11.57999992
1981	12	3.710000038	0.074999809	6.699999809
1982	1	62.18999863	-1.909999967	3.799999952
1982	2	67.83999634	-1.859999895	5.360000134
1982	3	60.56000137	1.714999914	7.809999943
1982	4	10.76000023	4.955000401	11.81000042
1982	5	52.93000031	9.23500061	16.76000023
1982	6	4.53000021	14.95499992	23.59000015
1982	7	60.72000122	18.29000092	26.35000038
1982	8	142.2899933	17.02500153	23.70000076
1982	9	60.24000168	13.31499958	19.65999985
1982	10	26.13999939	7.039999962	14.61999989
1982	11	49.13999939	1.690000057	7
1982	12	90.69000244	-2.105000019	3.109999895
1983	1	48.79999924	-1.310000181	5.599999905
1983	2	50.40000153	-0.815000057	5.480000019
1983	3	96.15000153	1.099999905	6.599999905
1983	4	35.06000137	2.53000021	9.470000267
1983	5	21.95000076	8.619999886	16.61000061
1983	6	14.14000034	14.51499939	22.87999916
1983	7	46.70999908	18.11499977	26.04000092
1983	8	88.34999847	17.52999878	24.38999939
1983	9	36.59999847	15.51499939	23.54999924
1983	10	51.45999908	8.779999733	15.26000023
1983	11	29.88999939	2.129999876	8.529999733
1983	12	86.02999878	-1.664999962	3.329999924
1984	1	30.94000053	-3.189999819	4.099999905
1984	2	13.93000031	-0.559999943	6.539999962
1984	3	38.59000015	1.055000067	8.220000267
1984	4	44.06000137	4.119999886	11.84000015
1984	5	6.349999905	12.65000057	21.29000092
1984	6	52.20000076	14.74500084	22.86000061
1984	7	50.83000183	17.55500031	25.35000038
1984	8	104.5400009	16.29999924	23.45000076
1984	9	53.49000168	13.90999985	21.30999947
1984	10	97.33000183	4.630000114	9.380000114
1984	11	22.39999962	2.225000143	8.760000229
1984	12	91.05000305	-1.099999905	3.920000076
1985	1	53.20000076	-2.795000076	3.160000086
1985	2	42.97000122	-3.090000153	3.960000038
1985	3	100.1100006	2.179999828	8.109999657
1985	4	70.26000214	6.420000076	14.10999966
1985	5	36.45999908	10.53499985	17.86000061
1985	6	33.70999908	15.57999992	24.38999939
1985	7	92.55000305	17.40999985	25.31999969
1985	8	94.73999786	16.875	25.02000046
1985	9	99.80999756	11.86999989	19.39999962
1985	10	86.34999847	7.890000343	14.80000019
1985	11	44.45000076	1.649999857	7.329999924
1985	12	16.81999969	-1.605000019	5.449999809
1986	1	4.429999828	1.320000172	8.970000267
1986	2	62.97999954	0.930000067	6.630000114
1986	3	30.44000053	3.804999828	11.28999996
1986	4	75.38999939	5.789999962	12.32999992
1986	5	38.90999985	10.56500053	18.44000053
1986	6	84.04000092	14.125	21.27000046
