"plot","Tree.number","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","site","id","Species","X.coord","Y.coord","T1_DBH","T1_BasalArea","Tree.CX.code","Leaf.Cx","Leaf.Density","Stem","Insects","Meristem","T2_DBH","T2_BasalArea","Tree.height","DBH_inc","X.x","X.1","max","height.ratio","X.y","Y.x","UTME.x","UTMN.x","Lat.x","Lon.x","total_jan","total_feb","total_mar","total_apr","total_may","total_jun","total_jul","total_aug","total_sep","total_oct","total_nov","total_dec","hours_jan","hours_feb","hours_mar","hours_apr","hours_may","hours_jun","hours_jul","hours_aug","hours_sep","hours_oct","hours_nov","hours_dec","total","X","Y.y","UTME.y","UTMN.y","Lat.y","Lon.y","Slope","Aspect","TWI","Prof_curv","Plan_curv","DEM","Cat_slope","Cat_area","MCat_area","Gen_curv"
"113","1366",1.18,1.42,1.455,1.26,1.485,1.135,1.51,0.93,0.865,1.515,1.25,1.24,0.775,1.105,0.755,1.06,0.875,1.33,0.69,0.91,0,0.34,0.65,0.335,0.2,0.485,0.365,0.415,0.995,0.42,0.425,0.025,2014,"113.rwl","1131366A","PIPO",2,34,31.4,774.3705191,"LG","2",2,2,2,2,35.5,989.7971994,15.39,4.1,NA,"",21.16,0.727315689981096,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1401",0.565,0.915,0.595,0.855,0.925,0.85,0.985,0.39,0.615,0.635,0.73,0.57,0.72,0.75,0.205,0.835,0.47,0.865,0.235,0.37,0,0.27,0.325,0.34,0.265,0.75,0.66,0.63,0.655,0.145,0.425,0.37,2014,"113.rwl","1131401A","PIPO",33.4,38.9,40.1,1262.927034,"LF","2",1,1,2,1.5,40.2,1269.233776,17.54,0.1,NA,"",21.16,0.828922495274102,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1402",0.725,1.205,0.86,0.965,1.08,0.825,1.155,0.605,0.78,0.545,0.86,0.625,0.5,0.68,0.175,0.755,0.605,0.655,0.26,0.52,0,0.335,0.345,0.44,0,0.525,0.445,0.45,0.505,0.1,0.43,0,2014,"113.rwl","1131402A","PIPO",31.5,38.5,40.5,1288.248249,"LF","2",1,1,2,2,42.4,1411.95621,18.63,1.9,NA,"",21.16,0.880434782608696,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1403",1.12,1.25,1.18,1.21,1.02,0.78,1.01,0.71,0.5,0.755,0.875,1.01,0.69,1.155,0.38,1.005,0.61,0.565,0.35,0.605,0,0.43,0.415,0.715,0.29,0.975,1.315,1.54,1.425,0.215,0.63,0.05,2014,"113.rwl","1131403A","PIPO",28.5,40.2,42.1,1392.046383,"LF","2",2,2,2,2,42.3,1405.303893,15.79,0.2,NA,"",21.16,0.746219281663516,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1404",1.45,1.805,2.125,2.445,2.165,1.125,0.665,0.22,0.505,1.085,1.445,1.46,1.18,1.615,0.715,1.39,0.89,1.09,0.375,0.52,0,0.285,0.445,0.445,0.18,0.845,0.92,0.92,1.355,0.58,0.775,0.095,2014,"113.rwl","1131404A","PIPO",26.8,35.2,29.5,683.4921744,"LF","2",2,1,2,1.5,31.1,759.644316,9.76,1.6,NA,"",21.16,0.46124763705104,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1405",0.25,0.31,0.22,0.425,0.59,0.425,0.795,0.545,0.455,0.665,0.635,0.565,0.525,0.575,0.28,0.575,0.44,0.535,0.215,0.3,0.235,0.355,0.43,0.305,0.145,0.285,0.275,0.49,0.535,0.105,0.425,0,2014,"113.rwl","1131405A","PIPO",27.2,35.8,25.5,510.7047244,"LG","2",2,2,2,2,27.2,581.0684864,12.49,1.7,NA,"",21.16,0.590264650283554,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1406",0.285,0.345,0.28,0.285,0.515,0.44,0.445,0.325,0.41,0.375,0.43,0.425,0.24,0.65,0,0.54,0.34,0.535,0.3,0.425,0,0.155,0.225,0.335,0,0.465,0.485,0.495,0.61,0.23,0.325,0.205,2014,"113.rwl","1131406A","PIPO",23.4,49.2,36.3,1034.910432,"LG","2",1,1,2,2,37.2,1086.864476,18.05,0.9,NA,"",21.16,0.853024574669187,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1407",1.18,1.075,0.855,0.935,1.145,0.84,1.265,0.85,0.77,1.09,0.845,1.13,0.885,1.19,0.59,0.82,0.64,0.715,0.515,0.855,0,0.455,0.675,0.475,0.275,0.855,0.84,1.365,1.475,0.595,0.655,0.32,2014,"113.rwl","1131407A","PIPO",13.5,43.9,27.9,611.361268,"LE","2",2,2,2,2,31.1,759.644316,12.32,3.2,NA,"",21.16,0.582230623818526,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1408",1.195,1.145,0.93,0.79,0.94,0.62,0.64,0.605,0.54,0.77,0.49,0.605,0.525,0.525,0.29,0.28,0.275,0.235,0.055,0.285,0,0.175,0.085,0.105,0,0.115,0.17,0.08,0.15,0,0.17,0,2014,"113.rwl","1131408A","PIPO",8.7,40.5,39.6,1231.628944,"LF","1",1,2,1,2,39.5,1225.416449,16.52,-0.1,NA,"",21.16,0.780718336483932,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
"113","1410",0.655,0.53,0.45,0.655,0.915,0.7,0.58,0.4,0.43,0.575,0.65,0.615,0.455,0.575,0.37,0.665,0.565,0.72,0.51,0.39,0.08,0.29,0.43,0.5,0.425,1.075,1.295,1.585,1.295,0.74,0.85,0.705,2014,"113.rwl","1131410A","PIPO",0.2,42.3,33.7,891.9680868,"LG","2",2,1.5,2,2,35.4,984.2287311,8.65,1.7,NA,"",21.16,0.408790170132325,353194,3962859,353194,3962859,35.79887657,-106.6246832,101301.6436,126323.196,192852.8369,236600.1309,270571.5049,284180.7822,285916.3008,256856.6182,204316.3296,157445.4702,107880.3389,89923.81592,296.5,294,360.5,384.5,416,420,434,411,364,338,293.5,286.5,-0.0917464525005568,353194,3962859,353194,3962859,35.79887657,-106.6246832,-0.806473995945737,1.08166270113045,0.479254894395522,0.0026,0.04465,2556.16992,0.05938,254.97232,323.09384,0.01219
