"1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","site","id","plot","Tree.number"
1.18,1.42,1.455,1.26,1.485,1.135,1.51,0.93,0.865,1.515,1.25,1.24,0.775,1.105,0.755,1.06,0.875,1.33,0.69,0.91,0,0.34,0.65,0.335,0.2,0.485,0.365,0.415,0.995,0.42,0.425,0.025,2014,"113.rwl","1131366A","113","1366"
0.565,0.915,0.595,0.855,0.925,0.85,0.985,0.39,0.615,0.635,0.73,0.57,0.72,0.75,0.205,0.835,0.47,0.865,0.235,0.37,0,0.27,0.325,0.34,0.265,0.75,0.66,0.63,0.655,0.145,0.425,0.37,2014,"113.rwl","1131401A","113","1401"
0.725,1.205,0.86,0.965,1.08,0.825,1.155,0.605,0.78,0.545,0.86,0.625,0.5,0.68,0.175,0.755,0.605,0.655,0.26,0.52,0,0.335,0.345,0.44,0,0.525,0.445,0.45,0.505,0.1,0.43,0,2014,"113.rwl","1131402A","113","1402"
1.12,1.25,1.18,1.21,1.02,0.78,1.01,0.71,0.5,0.755,0.875,1.01,0.69,1.155,0.38,1.005,0.61,0.565,0.35,0.605,0,0.43,0.415,0.715,0.29,0.975,1.315,1.54,1.425,0.215,0.63,0.05,2014,"113.rwl","1131403A","113","1403"
1.45,1.805,2.125,2.445,2.165,1.125,0.665,0.22,0.505,1.085,1.445,1.46,1.18,1.615,0.715,1.39,0.89,1.09,0.375,0.52,0,0.285,0.445,0.445,0.18,0.845,0.92,0.92,1.355,0.58,0.775,0.095,2014,"113.rwl","1131404A","113","1404"
0.25,0.31,0.22,0.425,0.59,0.425,0.795,0.545,0.455,0.665,0.635,0.565,0.525,0.575,0.28,0.575,0.44,0.535,0.215,0.3,0.235,0.355,0.43,0.305,0.145,0.285,0.275,0.49,0.535,0.105,0.425,0,2014,"113.rwl","1131405A","113","1405"
0.285,0.345,0.28,0.285,0.515,0.44,0.445,0.325,0.41,0.375,0.43,0.425,0.24,0.65,0,0.54,0.34,0.535,0.3,0.425,0,0.155,0.225,0.335,0,0.465,0.485,0.495,0.61,0.23,0.325,0.205,2014,"113.rwl","1131406A","113","1406"
1.18,1.075,0.855,0.935,1.145,0.84,1.265,0.85,0.77,1.09,0.845,1.13,0.885,1.19,0.59,0.82,0.64,0.715,0.515,0.855,0,0.455,0.675,0.475,0.275,0.855,0.84,1.365,1.475,0.595,0.655,0.32,2014,"113.rwl","1131407A","113","1407"
1.195,1.145,0.93,0.79,0.94,0.62,0.64,0.605,0.54,0.77,0.49,0.605,0.525,0.525,0.29,0.28,0.275,0.235,0.055,0.285,0,0.175,0.085,0.105,0,0.115,0.17,0.08,0.15,0,0.17,0,2014,"113.rwl","1131408A","113","1408"
0.655,0.53,0.45,0.655,0.915,0.7,0.58,0.4,0.43,0.575,0.65,0.615,0.455,0.575,0.37,0.665,0.565,0.72,0.51,0.39,0.08,0.29,0.43,0.5,0.425,1.075,1.295,1.585,1.295,0.74,0.85,0.705,2014,"113.rwl","1131410A","113","1410"
1.435,1.87,1.7,1.98,1.83,1.69,2.24,1.16,1.535,1.705,1.63,0.995,0.785,1.21,0.39,0.935,0.95,1.17,0.385,0.74,0,0.26,0.345,0.47,0.23,0.785,1.1,1.07,1.265,0.84,1.33,0.395,2014,"113.rwl","1131417A","113","1417"
1.49,1.745,1.06,1.205,1.23,0.985,1.25,0.94,1.25,1.355,1.415,1.195,0.69,1.05,0.215,1.01,0.855,0.66,0.41,0.61,0.13,0.56,0.4,0.685,0.075,0.525,0.35,0.29,0.31,0.07,0.435,0,2014,"113.rwl","1131419A","113","1419"
0.985,1.5,1.5,1.855,1.77,1.255,2.15,0.575,1.075,1.685,1.61,1.26,1.105,1.675,0.265,1.345,1.21,1.315,0.4,0.955,0,0.49,0.3,0.37,0.16,0.99,0.9,0.82,0.65,0.14,0.625,0,2014,"113.rwl","1131433A","113","1433"
0.795,0.995,0.865,2.005,1.655,1.215,0.995,0.48,0.55,0.795,0.64,0.57,0.59,0.45,0.08,0.545,0.71,0.565,0.125,0.29,0,0.155,0.295,0.385,0,0.375,0.42,0.36,0.33,0.075,0.37,0.145,2014,"113.rwl","1131438A","113","1438"
