MCN_NAD27,,X,Y,TRMI100,TRMI250,TRMI500,TRMI1000,TRMI2000
0,113,353194.00000000000,3962859.00000000000,16.00000000000,26.00000000000,21.00000000000,26.00000000000,16.00000000000
1,125,353797.00000000000,3963034.00000000000,21.00000000000,31.00000000000,26.00000000000,21.00000000000,21.00000000000
2,127,352398.00000000000,3963263.00000000000,13.00000000000,33.00000000000,23.00000000000,23.00000000000,13.00000000000
3,137,352595.00000000000,3963459.00000000000,25.00000000000,25.00000000000,25.00000000000,25.00000000000,25.00000000000
4,141,353399.00000000000,3963449.00000000000,14.00000000000,34.00000000000,34.00000000000,24.00000000000,14.00000000000
5,143,353799.00000000000,3963446.00000000000,17.00000000000,17.00000000000,17.00000000000,17.00000000000,17.00000000000
6,145,352393.00000000000,3963658.00000000000,13.00000000000,18.00000000000,23.00000000000,13.00000000000,13.00000000000
7,147,352807.00000000000,3963647.00000000000,25.00000000000,45.00000000000,40.00000000000,30.00000000000,25.00000000000
8,149,353194.00000000000,3963647.00000000000,35.00000000000,35.00000000000,35.00000000000,35.00000000000,35.00000000000
9,151,353606.00000000000,3963653.00000000000,27.00000000000,37.00000000000,37.00000000000,27.00000000000,27.00000000000
10,154,352599.00000000000,3963852.00000000000,15.00000000000,15.00000000000,15.00000000000,15.00000000000,15.00000000000
11,156,352989.00000000000,3963851.00000000000,11.00000000000,21.00000000000,11.00000000000,11.00000000000,11.00000000000
12,158,353396.00000000000,3963853.00000000000,19.00000000000,19.00000000000,19.00000000000,19.00000000000,19.00000000000
13,162,352392.00000000000,3964065.00000000000,24.00000000000,24.00000000000,24.00000000000,24.00000000000,24.00000000000
14,164,352800.00000000000,3964055.00000000000,28.00000000000,28.00000000000,28.00000000000,28.00000000000,28.00000000000
15,166,353198.00000000000,3964061.00000000000,31.00000000000,31.00000000000,31.00000000000,31.00000000000,31.00000000000
