************************************************************
Sat Feb 20 15:03:53 2016
With Gaussian process model for individuals
     using raw data
Inference for Stan model: gi-plus-dbh.
4 chains, each with iter=2500; warmup=1250; thin=1;
post-warmup draws per chain=1250, total post-warmup draws=5000.

                    mean se_mean    sd   2.5%    25%    50%    75% 97.5% n_eff  Rhat
beta_0_gi[1]       0.008   0.000 0.017  0.000  0.001  0.003  0.008 0.052  2314 1.002
beta_0_gi[2]       0.018   0.001 0.039  0.000  0.002  0.006  0.017 0.125  2184 1.003
beta_0_gi[3]       0.008   0.000 0.022  0.000  0.001  0.003  0.007 0.050  2695 1.001
beta_0_gi[4]       0.005   0.000 0.009  0.000  0.001  0.002  0.005 0.029  1903 1.004
beta_0_gi[5]       0.078   0.003 0.154  0.001  0.011  0.029  0.076 0.487  2150 1.002
beta_0_gi[6]       0.023   0.001 0.050  0.000  0.002  0.006  0.020 0.152  2264 1.003
beta_0_gi[7]       0.011   0.001 0.022  0.000  0.001  0.004  0.011 0.070  1715 1.003
beta_0_gi[8]       0.009   0.000 0.023  0.000  0.001  0.003  0.008 0.054  2442 1.002
beta_0_gi[9]       0.016   0.001 0.038  0.000  0.001  0.005  0.015 0.103  2315 1.002
beta_0_gi[10]      0.040   0.002 0.110  0.000  0.002  0.007  0.027 0.323  2940 1.001
beta_0_gi[11]      0.439   0.011 0.450  0.027  0.124  0.282  0.597 1.658  1570 1.006
beta_0_gi[12]      0.034   0.002 0.102  0.000  0.002  0.007  0.024 0.253  2708 1.002
beta_0_gi[13]      0.012   0.001 0.025  0.000  0.001  0.004  0.011 0.075  2515 1.002
beta_0_gi[14]      0.029   0.002 0.092  0.000  0.002  0.006  0.020 0.219  3019 1.002
beta_0_gi[15]      0.007   0.000 0.018  0.000  0.001  0.002  0.006 0.041  2005 1.000
beta_0_gi[16]      0.011   0.001 0.023  0.000  0.001  0.004  0.010 0.073  1712 1.003
beta_ppt[1]        0.114   0.011 0.333 -0.539 -0.112  0.112  0.340 0.763   989 1.002
beta_ppt[2]        0.123   0.013 0.399 -0.667 -0.143  0.125  0.395 0.895   940 1.001
beta_ppt[3]        0.035   0.015 0.591 -1.131 -0.357  0.039  0.430 1.198  1460 1.005
beta_ppt[4]       -0.026   0.012 0.371 -0.744 -0.284 -0.023  0.221 0.707   990 1.003
beta_ppt[5]        0.105   0.014 0.456 -0.783 -0.202  0.105  0.408 1.020  1095 1.003
beta_ppt[6]        0.069   0.012 0.385 -0.680 -0.193  0.066  0.323 0.846  1022 1.003
beta_ppt[7]        0.012   0.015 0.423 -0.837 -0.261  0.016  0.299 0.840   813 1.003
beta_ppt[8]        0.001   0.015 0.486 -0.994 -0.311  0.005  0.325 0.928  1122 1.005
beta_ppt[9]        0.120   0.010 0.351 -0.569 -0.113  0.123  0.360 0.786  1271 1.001
beta_ppt[10]       0.006   0.015 0.600 -1.151 -0.403  0.002  0.410 1.149  1659 1.001
beta_ppt[11]       0.156   0.014 0.559 -0.966 -0.212  0.163  0.536 1.242  1489 1.001
beta_ppt[12]      -0.110   0.010 0.348 -0.791 -0.341 -0.114  0.128 0.569  1300 1.002
beta_ppt[13]       0.014   0.010 0.347 -0.669 -0.218  0.015  0.244 0.698  1264 1.001
beta_ppt[14]       0.058   0.015 0.451 -0.829 -0.242  0.062  0.364 0.931   855 1.003
beta_ppt[15]       0.102   0.014 0.559 -0.980 -0.280  0.103  0.476 1.217  1551 1.000
beta_ppt[16]       0.048   0.012 0.425 -0.778 -0.232  0.047  0.327 0.892  1211 1.002
beta_ppt[17]       0.077   0.013 0.458 -0.820 -0.232  0.079  0.382 0.995  1168 1.001
beta_ppt[18]       0.118   0.014 0.413 -0.696 -0.159  0.124  0.397 0.910   901 1.001
beta_ppt[19]       0.006   0.012 0.398 -0.757 -0.266  0.003  0.274 0.760  1050 1.004
beta_ppt[20]      -0.023   0.014 0.510 -1.008 -0.361 -0.025  0.307 0.995  1255 1.000
beta_tmn[1]       -0.049   0.013 0.442 -0.917 -0.345 -0.053  0.254 0.799  1235 1.001
beta_tmn[2]        0.000   0.016 0.609 -1.213 -0.408  0.000  0.408 1.191  1535 1.001
beta_tmn[3]       -0.086   0.017 0.589 -1.232 -0.486 -0.081  0.306 1.064  1253 1.002
beta_tmn[4]       -0.102   0.013 0.403 -0.895 -0.373 -0.103  0.168 0.697   985 1.002
beta_tmn[5]       -0.018   0.015 0.535 -1.078 -0.384 -0.026  0.362 0.977  1298 1.004
beta_tmn[6]       -0.066   0.013 0.474 -0.999 -0.403 -0.060  0.254 0.852  1343 1.000
beta_tmn[7]       -0.075   0.014 0.431 -0.936 -0.355 -0.074  0.210 0.770   981 1.003
beta_tmn[8]        0.056   0.012 0.409 -0.762 -0.219  0.062  0.330 0.850  1246 1.001
beta_tmn[9]       -0.067   0.012 0.442 -0.961 -0.366 -0.059  0.226 0.783  1403 1.003
beta_tmn[10]       0.028   0.012 0.488 -0.929 -0.304  0.030  0.368 0.986  1559 1.002
beta_tmn[11]       0.029   0.015 0.550 -1.044 -0.343  0.030  0.402 1.091  1415 1.001
beta_tmn[12]      -0.118   0.012 0.405 -0.924 -0.388 -0.116  0.158 0.686  1235 1.001
beta_tmn[13]       0.067   0.016 0.460 -0.809 -0.248  0.059  0.371 0.986   873 1.004
beta_tmn[14]       0.102   0.015 0.497 -0.886 -0.228  0.098  0.443 1.060  1113 1.001
beta_tmn[15]      -0.010   0.018 0.629 -1.230 -0.441 -0.011  0.411 1.256  1282 1.002
beta_tmn[16]      -0.138   0.013 0.427 -0.998 -0.419 -0.140  0.147 0.694  1154 1.003
beta_tmn[17]       0.057   0.015 0.565 -1.015 -0.331  0.048  0.427 1.199  1470 1.001
beta_tmn[18]      -0.001   0.016 0.539 -1.033 -0.362 -0.018  0.364 1.062  1193 1.001
beta_tmn[19]       0.002   0.014 0.503 -1.003 -0.320  0.002  0.336 0.991  1219 1.002
beta_tmn[20]      -0.087   0.010 0.317 -0.706 -0.298 -0.088  0.129 0.533  1089 1.004
sigma_indiv        0.401   0.000 0.028  0.348  0.382  0.400  0.420 0.459  5000 1.001
sigma_site_gi      0.982   0.003 0.185  0.688  0.851  0.956  1.087 1.410  5000 1.000
eta_sq             0.094   0.000 0.004  0.086  0.091  0.094  0.096 0.102  5000 1.000
rho_sq             0.108   0.000 0.006  0.097  0.104  0.107  0.111 0.119  5000 1.000
sigma_sq           0.051   0.000 0.001  0.048  0.050  0.051  0.052 0.054  5000 0.999
beta_0_dbh        -1.451   0.033 0.927 -3.214 -2.075 -1.475 -0.846 0.391   799 1.006
beta_size         -0.559   0.012 0.527 -1.645 -0.905 -0.540 -0.204 0.421  2066 1.001
beta_height_ratio  1.791   0.007 0.349  1.130  1.560  1.779  2.024 2.501  2229 1.001
gamma_radiation    0.116   0.014 0.981 -1.828 -0.519  0.107  0.763 2.055  5000 1.000
gamma_aspect      -1.624   0.018 0.912 -3.435 -2.238 -1.620 -1.012 0.151  2700 1.001
gamma_twi         -0.506   0.014 0.981 -2.398 -1.165 -0.510  0.153 1.379  5000 1.000
sigma_resid        0.174   0.000 0.005  0.164  0.171  0.174  0.178 0.185  5000 1.000
sigma_site_dbh     1.795   0.012 0.454  1.057  1.466  1.749  2.067 2.829  1518 1.001
sigma_species      2.152   0.015 0.606  1.127  1.712  2.104  2.550 3.454  1679 1.005

Samples were drawn using NUTS(diag_e) at Sat Feb 20 15:03:53 2016.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at
convergence, Rhat=1).


R^2:    0.217
lambda: 0.086
