Inference for Bugs model at "growth-increment.jags", fit using jags,
 5 chains, each with 6000 iterations (first 1000 discarded)
 n.sims = 25000 iterations saved
                     mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
beta.0                 2.748   0.568   1.626   2.364   2.753   3.135   3.840 1.001 25000
beta.ppt[1]            0.000   0.001  -0.002  -0.001   0.000   0.001   0.002 1.001 17000
beta.ppt[2]            0.000   0.002  -0.003  -0.001   0.000   0.001   0.003 1.001 25000
beta.ppt[3]            0.003   0.001   0.001   0.002   0.003   0.003   0.004 1.001 16000
beta.ppt[4]            0.004   0.001   0.002   0.003   0.004   0.004   0.006 1.001 14000
beta.ppt[5]            0.007   0.001   0.004   0.006   0.007   0.008   0.009 1.001 25000
beta.ppt[6]           -0.004   0.002  -0.007  -0.005  -0.004  -0.002   0.000 1.001 25000
beta.tmn[1]            0.130   0.059   0.015   0.091   0.130   0.169   0.246 1.001 25000
beta.tmn[2]            0.149   0.048   0.053   0.117   0.149   0.182   0.243 1.001 25000
beta.tmn[3]           -0.174   0.050  -0.272  -0.208  -0.173  -0.140  -0.074 1.001  9000
beta.tmn[4]            0.128   0.090  -0.051   0.068   0.128   0.189   0.303 1.001 16000
beta.tmn[5]            0.008   0.067  -0.123  -0.037   0.008   0.052   0.139 1.001 25000
beta.tmn[6]            0.028   0.052  -0.073  -0.007   0.028   0.063   0.129 1.001 25000
beta.tmx[1]           -0.099   0.050  -0.197  -0.132  -0.098  -0.065  -0.002 1.001 25000
beta.tmx[2]           -0.078   0.050  -0.177  -0.111  -0.078  -0.043   0.019 1.001 25000
beta.tmx[3]            0.111   0.058  -0.003   0.072   0.111   0.150   0.223 1.001 23000
beta.tmx[4]           -0.088   0.087  -0.258  -0.147  -0.089  -0.030   0.084 1.001 17000
beta.tmx[5]            0.034   0.052  -0.069  -0.001   0.034   0.070   0.136 1.001 17000
beta.tmx[6]           -0.057   0.044  -0.144  -0.087  -0.057  -0.027   0.030 1.001 25000
beta.vpd[1]           -0.082   0.058  -0.196  -0.121  -0.082  -0.043   0.031 1.001 25000
beta.vpd[2]           -0.126   0.060  -0.244  -0.167  -0.126  -0.086  -0.010 1.001 21000
beta.vpd[3]            0.093   0.128  -0.158   0.006   0.092   0.179   0.342 1.001 25000
beta.vpd[4]           -0.210   0.039  -0.286  -0.236  -0.210  -0.184  -0.133 1.001 17000
beta.vpd[5]           -0.009   0.041  -0.089  -0.036  -0.009   0.018   0.070 1.001 21000
